url_PI,name,set,url_CM
https://en.play-in.com/rachat/magic/result.php?i=20438,Ulrich-of-the-Krallenhorde-Ulrich-Uncontested-Alpha,Eldritch-Moon,https://www.cardmarket.com/en/Magic/Products/Singles/Eldritch-Moon/Ulrich-of-the-Krallenhorde-Ulrich-Uncontested-Alpha
https://en.play-in.com/rachat/magic/result.php?i=20438,Ulrich-of-the-Krallenhorde-Ulrich-Uncontested-Alpha,Eldritch-Moon-Promos,https://www.cardmarket.com/en/Magic/Products/Singles/Eldritch-Moon-Promos/Ulrich-of-the-Krallenhorde-Ulrich-Uncontested-Alpha
https://en.play-in.com/rachat/magic/result.php?i=17148,Dreadbore,Return-to-Ravnica,https://www.cardmarket.com/en/Magic/Products/Singles/Return-to-Ravnica/Dreadbore
https://en.play-in.com/rachat/magic/result.php?i=17148,Dreadbore,Archenemy-Nicol-Bolas,https://www.cardmarket.com/en/Magic/Products/Singles/Archenemy-Nicol-Bolas/Dreadbore
https://en.play-in.com/rachat/magic/result.php?i=17148,Dreadbore,Ravnica-Allegiance-Guild-Kits,https://www.cardmarket.com/en/Magic/Products/Singles/Ravnica-Allegiance-Guild-Kits/Dreadbore
https://en.play-in.com/rachat/magic/result.php?i=17148,Dreadbore,Secret-Lair-Drop-Series,https://www.cardmarket.com/en/Magic/Products/Singles/Secret-Lair-Drop-Series/Dreadbore
https://en.play-in.com/rachat/magic/result.php?i=23578,Lyra-Dawnbringer,Dominaria,https://www.cardmarket.com/en/Magic/Products/Singles/Dominaria/Lyra-Dawnbringer
https://en.play-in.com/rachat/magic/result.php?i=23578,Lyra-Dawnbringer,Jumpstart-2022,https://www.cardmarket.com/en/Magic/Products/Singles/Jumpstart-2022/Lyra-Dawnbringer
https://en.play-in.com/rachat/magic/result.php?i=23578,Lyra-Dawnbringer,Dominaria-Remastered,https://www.cardmarket.com/en/Magic/Products/Singles/Dominaria-Remastered/Lyra-Dawnbringer
https://en.play-in.com/rachat/magic/result.php?i=23563,Teferi-Hero-of-Dominaria,Dominaria,https://www.cardmarket.com/en/Magic/Products/Singles/Dominaria/Teferi-Hero-of-Dominaria
https://en.play-in.com/rachat/magic/result.php?i=23563,Teferi-Hero-of-Dominaria,Dominaria-Promos,https://www.cardmarket.com/en/Magic/Products/Singles/Dominaria-Promos/Teferi-Hero-of-Dominaria
https://en.play-in.com/rachat/magic/result.php?i=23563,Teferi-Hero-of-Dominaria,Guilds-of-Ravnica-Mythic-Edition,https://www.cardmarket.com/en/Magic/Products/Singles/Guilds-of-Ravnica-Mythic-Edition/Teferi-Hero-of-Dominaria
https://en.play-in.com/rachat/magic/result.php?i=23563,Teferi-Hero-of-Dominaria,Secret-Lair-Drop-Series,https://www.cardmarket.com/en/Magic/Products/Singles/Secret-Lair-Drop-Series/Teferi-Hero-of-Dominaria
https://en.play-in.com/rachat/magic/result.php?i=23563,Teferi-Hero-of-Dominaria,The-List,https://www.cardmarket.com/en/Magic/Products/Singles/The-List/Teferi-Hero-of-Dominaria
https://en.play-in.com/rachat/magic/result.php?i=19272,Collected-Company,Dragons-of-Tarkir,https://www.cardmarket.com/en/Magic/Products/Singles/Dragons-of-Tarkir/Collected-Company
